type,pos,釋義1
景況,Na,
景物,Na,
景緻,Na,1.【名】風景、景致。例：車窗外口的景緻誠實袂䆀。Tshia thang guā-kháu ê kíng-tì tsiânn-si̍t bē-bái. (車窗外的風景真的不錯。)　[近]景色
景美,Nc,附錄－地名－臺北捷運新店線站名
景美溪,Nc,附錄－地名－溪川名
景致,Na,
景色,Na,【名】風景、景致、景物。例：日月潭的景色袂䆀，有閒咱來去行行咧。Ji̍t-gua̍t-thâm ê kíng-sik bē-bái, ū-îng lán lâi-khì kiânn-kiânn--leh. (日月潭的風景不錯，有空我們也去走一走。)　
景觀,Na,
景象,Na,
景點,Na,
晴,VH,
晶,Na,
晶片,Na,
智,VH,附錄－百家姓
智力,Na,
智商,Na,
智慧,Na,【名】對事物具有分析、判斷、創造、思考的能力。
智能,Na,
智識,Na,【名】人在學習、實踐過程中所獲得的學問、經驗等。
晾,VC,【動】把東西吊掛起來曝晒，或置於通風處使其乾燥。例：晾衫　nê sann(晾衣服)。
暇,VH,
暈,VH,
暉,Na,
暑,Nd,
暑假,Nd,【時】各級學校因為夏天暑熱而放假，時間通常是在七月、八月。
暑期,Nd,
暖,VHC,
暖暖,VH,附錄－地名－火車線站名
暖暖區,Nc,基隆市行政區(附錄－地名－臺灣縣市行政區名)
暗,VH,1.【形】黑暗。例：遮傷暗　tsia siunn àm(這裡太暗)。[反]光
暗中,D,【副】私下、背地裡。例：暗中探聽伊的消息。Àm-tiong thàm-thiann i ê siau-sit. (暗中打聽他的消息。)　
暗光鳥,Na,1.【名】夜鷺。禽鳥類。嘴黑，上嘴嚙喙先端有缺刻，頸肥短，有白色飾羽，胸腹白，背覆羽有同色三角斑，腳暗黃，跗蹠被網目狀鱗。
暗房,Nc,
暗殺,VC,【動】趁人不備之時將其殺害。
暗淡,VH,【形】不鮮豔、不明亮。
暗示,VE,【動】用間接、含蓄的方法來表達意思。例：伊共你𥍉目，就是暗示你毋通加講話。I kā lí nih-ba̍k, tō sī àm-sī lí m̄-thang ke kóng-uē. (他向你眨眼，就是暗示你不要多話。)　
暗色,Na,【名】較濃或深沉的顏色。
暗號,Na,【名】祕密的口令或記號。
暗訪,VC,【動】私下查訪。
暝,Na,【名】夜、晚。例：規暝無睏　kui mê bô khùn(整晚沒睡)、無暝無日　bô-mê-bô-ji̍t(沒日沒夜、日以繼夜)。
暢,VH,【形】高興雀躍的樣子。有些地方的女性不說「暢」這個詞，因為會引發跟「性」有關的聯想。例：伊毋知咧暢啥，暢甲坐袂牢。I m̄ tsai teh thiòng siánn, thiòng kah tsē bē tiâu. (他不知道在高興什麼，高興得坐不住。)　
暨,P,
暫,VH,【副】臨時的、短時間性。例：暫等　tsiām tán(暫時等一下)、暫時　tsiām-sî。
暫且,D,【副】姑且、暫時。例：你暫且留蹛遮，等咧才轉去。Lí tsiām-tshiánn lâu tuà--tsia, tán--leh tsiah tńg--khì. (你先留在這兒，等一會再回去。)　
暫停,VHC,
暫時,D,【時】短時間。例：咱暫時莫見面。Lán tsiām-sî mài kìnn-bīn. (我們暫時不要見面。)　
暮,Nd,
暱,VC,
暴,VH,
暴亂,Na,
暴力,VH,
暴動,VA,
暴君,Na,
暴民,Na,
暴牙,Na,【形】通常指上顎前牙過於突出，以致無法與下顎前牙密切咬合。
暴露,VHC,1.【動】毫無遮蔽，顯現在外。
曆,Na,
曆日,Nd,1.【名】日曆。記載年、月、日、星期和節氣、紀念日等的印刷品，一年一本，一日一頁。
曉,VK,
曖,b,
曖昧,VH,【名】不明朗、不清白、不光明正大；通常指男女之間有不正常的關係。例：兩个人一定有曖昧。In nn̄g ê lâng it-tīng ū ài-māi. (他們兩個一定有曖昧。)　
曝,VC,
曝乾,VB,【動】將食物晒乾以便長久保存。例：生食都無夠，哪有通曝乾？Tshenn tsia̍h to bô-kàu, ná ū thang pha̍k-kuann? (現吃都不夠了，哪還能拿來晒成乾料？)　
曠,VH,
曰,VE,
曲,VH,
曲盤,Na,【名】唱片。一種利用機械錄音方法記錄聲音的膠製圓片。上有細溝，放在留聲機或電唱機上旋轉時，沿著槽紋滑動的唱針尖端發生機械振動，通過唱頭還原為聲音或轉換為電子信號。
曲線,Na,
更,Nf,
更加,Dfa,
更年期,Na,
更改,VC,
更新,VC,
更正,VC,
更生,VH,
曷,b,1.【副】何必、何須、哪。反問語，表示疑問。例：你曷使講？Lí a̍h-sái kóng? (你何須說？)；你曷著按呢做？Lí a̍h-tio̍h án-ne tsò? (你何必這樣做？)　
書,VC,1.【名】把不同的文章或圖片集結起來的冊子。
書刊,Na,
書寫,VC,
書局,Nc,
書展,Na,
書店,Nc,
書房,Nc,【名】書齋。指家中讀書寫字的房間。
書架,Na,
書櫥,Na,【名】收藏書籍的櫃子。
書法,Na,
書評,Na,
書面,Na,
曹,Nb,附錄－百家姓
曼,b,
曾,Nb,附錄－百家姓
曾文溪,Nc,附錄－地名－溪川名
替,P,1.【動】代換。例：替換　thè-uānn。[近]換
替手,Na,【名】指可以接替事情的人。例：今仔日你若揣無替手，就袂使請假。Kin-á-ji̍t lí nā tshuē bô thè-tshiú, tō bē-sái tshíng-ká. (今天你如果沒找到代理人，就不能請假。)　
替換,VC,【動】更替、替代。將原有的調換下來。例：我佮伊替換工課。Guá kah i thè-uānn khang-khuè. (我和他替換工作。)　
替身,Na,1.【名】代替別人的人。例：演員的替身　ián-uân ê thè-sin。
最,Na,
最後,Nd,【時】時間或次序上居於最末的位置。
最近,VH,
會,VL,
會勘,VC,
會務,Na,
會合,VA,【動】照約定好的時間及地點彼此聚會、集合。例：我約伊今仔日中晝佇公園會合，做伙去看櫻花。Guá iok i kin-á-ji̍t tiong-tàu tī kong-hn̂g huē-ha̍p, tsò-hué khì khuànn ing-hue. (我約他今天中午在公園會合，要一起去賞櫻。)　
會同,VC,【動】會合協同。
會員,Na,
會商,VE,
會報,Na,
會場,Nc,【名】集會的場所。
會期,Nd,
會社,Nc,【名】對公司的稱呼。源自日語。
會計,Na,1.【動】管理財務帳目和出納事宜。
會談,VA,
會議,Na,【名】為商議事情而依一定議程進行的聚會。
會通,VC,
會長,Na,
會頭,Na,【名】會首。現多指民間儲蓄互助會的發起人。
會館,Nc,【名】同鄉或同業的人在各城市設立的連絡機構，主要以館址的房舍供同鄉、同業聚會或寄寓。例：教師會館　kàu-su huē-kuán。
會齊,VA,
月,Nf,1.【名】月亮、月球。星名。地球的衛星。例：月娘　gue̍h-niû(月亮)。
月下老人,Na,【名】指主管男女婚姻的神，也有人用以稱呼媒人。
月中,Nd,【時】指每一個月的中旬。
月份,Na,
月俸,Na,【名】月薪、月給。公務員或受僱者每個月所領的薪資。
月光,Na,
月刊,Na,
月初,Nd,【時】月頭、上旬。一個月剛開始的頭幾天。
月台,Nc,
月娘,Na,【名】月亮。例：下昏暗月娘真光。Ē-hng-àm gue̍h-niû tsin kng. (今晚月亮很亮。)　
月底,Nd,
月桃,Na,【名】虎子花、良薑。草本植物。高約一至三公尺，葉鞘很長，質地堅韌，可以當作繩索用，葉子可以用來包粽子。種子成分含有健胃劑，可以加工製成強胃散或口味兒仁丹。
月津港,Nc,臺南市鹽水(附錄－地名－舊地名)
月琴,Na,【名】弦樂器。用木頭製成，琴身為扁圓形或八角形，有四絃或三絃，用撥子彈奏。臺灣的月琴只有兩絃，俗稱為「乞食琴」(khit-tsia̍h-khîm)。
月眉,Nc,新竹縣峨眉(附錄－地名－舊地名)
月租費,Na,
月經,Na,【名】指月經來潮，生理成熟的女人每月子宮黏膜脫落，所發生的週期性陰道流血現象，通常約在十四歲到四十五歲之間。
月色,Na,【名】月光。
月薪,Na,
月頭,Nd,【時】月初。每月起初的幾天。例：我月頭愛納厝稅錢。Guá gue̍h-thâu ài la̍p tshù-suè tsînn. (我月初要繳房租。)　
月餅,Na,【名】一種包著餡料的糕餅點心，是中秋節的應景食品。
有,V_2,1.【動】具備、取得、擁有。例：伊有三間厝。I ū sann king tshù. (他有三間房子。)；我有電腦。Guá ū tiān-náu.　
有利,VK,
有力,VH,1.【形】強勁有力量。
有史以來,D,
有名,VH,【形】很有名聲，為眾人所熟知。例：伊真有名。I tsin ū-miâ. (他很有名。)　
有夠,Dfa,1.【副】很、非常。例：予我等有夠久。Hōo guá tán ū-kàu kú. (讓我等很久。)　
有形,VH,
有心,VL,
有志,VH,
有情,VH,1.【形】男女之間互有戀慕之心。例：我知影你對伊有情。Guá tsai-iánn lí tuì i ū-tsîng. (我知道你對他有感情。)　
有意,VL,
有應公,Na,【名】無主孤魂。也就是孤魂野鬼，大多為凶死而不知其籍貫姓名或沒有後嗣的枯骨。
有效,VH,
有時,D,
有機,A,
有神,VH,【形】形容有神采、精神飽滿。例：伊的目睭真有神。I ê ba̍k-tsiu tsin ū-sîn. (她的眼睛很有神采。)　
有線,A,
有緣,VH,
有身,VH,【動】懷孕。例：伊已經有身兩個月矣。I í-king ū-sin nn̄g kò gue̍h--ah. (她已經懷孕兩個月了。)　
有量,VH,【形】寬宏大量。指一個人的度量十分寬大。例：做人愛有量，才會有福。Tsò-lâng ài ū-liōng, tsiah ē ū hok. (做人要有度量，才會有福報。)　
有錢,VH,
有錢人,Na,【名】富有的人。例：老爸是有錢人。In lāu-pē sī ū-tsînn-lâng. (他爸爸是有錢人。)　
有閒,VH,【形】有空。有空閒、餘暇。例：有閒才閣來阮兜𨑨迌。Ū-îng tsiah-koh lâi guán tau tshit-thô. (有空再來我家玩。)　
有關,VJ,
有限,VH,【形】有一定的限度，為數不多。例：我對你的幫助真有限。Guá tuì lí ê pang-tsōo tsin iú-hān. (我對你的幫忙是很有限的。)　
朋,Na,
朋友,Na,【名】友人的通稱。
服,VJ,附錄－百家姓
服侍,VC,1.【動】照料、伺候。例：伊誠有孝，服侍爸母蓋用心。I tsiânn iú-hàu, ho̍k-sāi pē-bú kài iōng-sim. (他很孝順，照料父母十分用心。)　
服務,VC,1.【動】為社會、別人做事。例：我真歡喜會當共你服務。Guá tsin huann-hí ē-tàng kā lí ho̍k-bū. (我很高與能替你服務。)　[近]服侍
服役,VA,
服從,VC,【動】順從、遵從。聽從命令、吩咐。
服用,VC,
服裝,Na,【名】衣服、鞋、帽的總稱。
服飾,Na,
朔,Ncd,
朕,Nh,【代】我。皇帝的自稱詞。
朗,VH,
望,VK,【動】看、遠看。例：一望無邊　it bōng bû pian。
望安鄉,Nc,澎湖縣行政區(附錄－地名－臺灣縣市行政區名)
望遠鏡,Na,
朝,VC,
朝代,Na,【名】專指一姓帝王所統治的時代。
朝天宮,Nc,附錄－地名－廟宇名
朝野,Na,
期,VK,
期刊,Na,
期待,VK,【動】希望、盼望。
期望,VK,
期貨,Na,
期間,Nd,【名】在特定的期限內。
期限,Na,【時】某一個限定的時間點。
木,Na,1.【名】樹。木本植物的通稱。例：草木　tshó-bo̍k、木本　bo̍k-pún。
木匠,Na,【名】木工師父。
木屐,Na,【名】以木材為底，上面釘有帶子的木板拖鞋。
木屐寮,Nc,附錄－地名－火車線站名
木工,Na,1.【名】從事木器製造的人。
木星,Nb,
木材,Na,【名】截斷的原木，經過初步的製材加工，成為提供建築和製作器物用的材料。
木柵,Nc,附錄－地名－臺北捷運文湖線站名
木棉,Na,【名】木本植物。樹幹有瘤刺，枝條成輪狀向四周平伸開展。葉片平滑，花於初春開放，花朵豔麗，為橙紅色系。果子呈現橢圓形，種子上被棉毛，棉毛富有彈性，適合做枕頭、沙發等填充材料。
木瓜,Na,【名】瓜果類。葉子是手掌狀，花有紅色和白色，果實也叫做「木瓜」，呈現橢圓形。原產於中國湖北、湖南、四川等地，顏色呈現黃色，有香味，可以食用，也可以提供藥用。一說臺灣的木瓜正名「番木瓜」，原產地是熱帶美洲。
木瓜山,Nc,附錄－地名－山脈名
木瓜溪,Nc,附錄－地名－溪川名
木耳,Na,【名】蕈菇類。生長在朽腐的樹幹上，成片狀，一邊黏在腐木上，表面向上突出，菌絲體生長後，生子實體，形狀長得像人的耳朵，徑大約一公寸，內面平滑，呈現暗褐色，外面有柔軟的短毛，呈淡褐色。可以供食用。
木雕,Na,
木魚,Na,見【嘓魚】go̍k-hî 條。
木麻黃,Na,【名】木本植物。雌雄異株，小枝有關節，葉子退化為鞘狀，有齒裂，圍繞在小枝關節間。具有防風、防砂等用途。鄉間常常用來做行道樹，田間和海濱則用來做防風林。
未,Nd,1.【副】沒。例：我猶未食飯。Guá iáu-buē tsia̍h-pn̄g. (我還沒吃飯。)　
未亡人,Na,【名】死了丈夫的婦人的自稱之詞，是一種訃文的專門用語。
未來,Nd,【名】將來。相對於現在、過去來說。
未免,D,【副】不能排除。表示明確的語意，但語氣略為和緩。例：伊按呢做，未免傷酷刑！I án-ne tsò, bī-bián siunn khok-hîng! (他這樣做，未免太殘酷了！)　
未婚,VH,
未曾,D,【副】尚未、還沒。例：未曾學行，就欲學飛。Buē-tsîng o̍h kiânn, tō beh o̍h pue. (還不會走，就想學飛。)　
未知,VJ,
末,Ng,
本,VJ,
本事,Na,【名】才幹、才能。
本人,Nh,1.【名】稱自己。
本份,Na,【名】本分。自己分內應盡的責任和義務。例：做人著守本份。Tsò-lâng tio̍h siú pún-hūn. (做人必須守本份。)　
本來,Na,1.【副】原來、原先。例：這領衫本來是我的。Tsit niá sann pún-lâi sī guá ê. (這件衣服本來是我的。)　
本名,Na,
本國,Nc,
本土,Nc,1.【名】人所生長的地方。
本地,Nc,【名】居住在某地區的人自稱該地為「本地」。
本地人,Na,
本壘,Na,
本年,Nd,
本性,Na,【名】與生俱來的天性。例：伊的本性就是較軟心。I ê pún-sìng tō sī khah nńg-sim. (他天生就是心地較軟。)　
本意,Na,【名】本來的心意。
本文,Na,
本業,Na,
本票,Na,
本籍,Na,
本能,Na,
本質,Na,
本身,Nh,【名】本人、自己。例：你本身嘛愛檢討。Lí pún-sin mā ài kiám-thó. (你本身也要檢討。)　
本金,Na,
本錢,Na,1.【名】經營事業所用的資本。
本領,Na,【名】本事。處理事情的能力。
本體,Na,
朱,VH,附錄－百家姓
朱紅,Na,【名】以朱砂(辰砂)做成的顏料所調出來的顏色，最常用於國畫當中。
朴,VH,
朴子,Nc,
朴子市,Nc,嘉義縣行政區(附錄－地名－臺灣縣市行政區名)
朴子溪,Nc,附錄－地名－溪川名
朽,VH,
杆,Na,
杉,Na,
李,Nb,附錄－百家姓
杏,Na,【名】木本植物。落葉喬木，樹皮帶赤色，葉卵形，春天開淡紅色的花，花、葉像梅，果實扁圓、肥厚，味酸甜，可食，核仁還可以入藥。花和果實都稱「杏」。
杏仁,Na,【名】杏核中的仁，是杏樹的種子，形狀扁圓像心臟，味道甜的可以炒食，味道苦的可入藥。例：伊毋敢食杏仁。I m̄ kánn tsia̍h hīng-jîn. (他不敢吃杏仁。)　
杏仁茶,Na,【名】作法有兩種，一種是將杏仁磨成粉，加以沖泡的飲品。一種是先將再來米磨成米漿，加入一定比例的水，再把杏仁浸水脫膜磨碎，摻入其中，加進適量的糖，然後再煮沸。例：伊毋敢啉杏仁茶。I m̄ kánn lim hīng-jîn tê. (他不敢喝杏仁茶。)　
材,VH,1.【名】木料。樹木中可以運用的部分。例：木材　bo̍k-tsâi。
材料,Na,【名】一切可供製作的原料或可供取用的資料。
材質,Na,
村,Nc,1.【名】山間或鄉野有人居住的地方。例：村庄　tshun-tsng(鄉民聚集居住的地方)。[近]庄
村民,Na,
村長,Na,
杓,Na,1.【名】水瓢。用來舀取液體的器具。例：落杓　làu-sia̍h(可供濾掉水分的杓子)。[近]杓仔
杖,VC,
杜,VC,附錄－百家姓
杜鵑,Na,1.【名】木本植物。在春夏會開紅、紫或白色的花，可供人觀賞用。
束,VC,1.【動】綑綁、束緊。例：束起來　sok--khí-lâi。
束縛,VC,【動】拘束、被限制。例：結婚了後攏會予家庭束縛。Kiat-hun liáu-āu lóng ē hōo ka-tîng sok-pa̍k. (結婚後都會受限於家庭。)　
束腰,VA,1.【名】型塑腰部的內衣，使腰部看起來更纖細。
杭,Nc,附錄－百家姓
杯,Nf,1.【名】盛置水、酒、飲料的容器。例：酒杯　tsiú-pue。[近]杯仔
東,Ncd,1.【位】方位名，與「西」相對。例：遠東　uán-tong(歐美稱呼亞洲東部各國)。
東亞,Nc,
東倒西歪,VH,【熟】形容亂七八糟的樣子。例：樹仔予風吹甲東倒西歪。Tshiū-á hōo hong tshue kah tang-tó-sai-uai. (樹木被風吹得東倒西歪。)　
東勢區,Nc,臺中市行政區(附錄－地名－臺灣縣市行政區名)
東勢鄉,Nc,雲林縣行政區(附錄－地名－臺灣縣市行政區名)
東北,Ncd,
東區,Nc,
東南亞,Nc,
東岸,Nc,
東方,Ncd,
東歐,Nc,
東沙,Nc,群島(附錄－地名－臺灣縣市行政區名)
東河鄉,Nc,臺東縣行政區(附錄－地名－臺灣縣市行政區名)
東洋,Nc,1.【名】亞洲。
東海,Nc,附錄－地名－火車線站名
東港溪,Nc,附錄－地名－溪川名
東港鎮,Nc,屏東縣行政區(附錄－地名－臺灣縣市行政區名)
東湖,Nc,附錄－地名－臺北捷運文湖線站名
東澳,Nc,附錄－地名－火車線站名
東石鄉,Nc,嘉義縣行政區(附錄－地名－臺灣縣市行政區名)
東部,Ncd,
東里,Nc,附錄－地名－火車線站名
東門,Nc,附錄－地名－臺北捷運新莊線站名
東風,Na,1.【名】春風。春天所吹的風。
杵,VC,
松,Na,
松山,Nc,附錄－地名－火車線站名
松山區,Nc,臺北市行政區(附錄－地名－臺灣縣市行政區名)
松山機場,Nc,附錄－地名－臺北捷運文湖線站名
松茸,Na,【名】蕈菇類。散發獨特的香味，日本人嗜食。被視為珍貴的食材。又稱「洋菇」。
板,Na,1.【名】片狀的木料或似片狀的物體。例：木板　bo̍k-pán、石板　tsio̍h-pán。
板橋,Nc,附錄－地名－臺北捷運板橋線站名
枇杷,Na,【名】瓜果類。葉子與果實都呈現橢圓形，略似琵琶，果實可以食用，葉子和核可以入藥。
枉,D,
枉死,VH,【動】受冤屈而死。例：就是有人陷害，伊才會來枉死。Tō sī ū-lâng hām-hāi, i tsiah ē lâi óng-sí. (就是因為有人陷害，他才會枉死。)　
枉費,VJ,【動】枉然、白費。例：枉費我對你付出遮爾仔濟，你一點仔都毋知。Óng-huì guá tuì lí hù-tshut tsiah-nī-á tsē, lí tsi̍t-tiám-á to m̄ tsai. (枉費我對你付出這麼多，你一點都不知道。)　
枋寮,Nc,附錄－地名－火車線站名
枋寮鄉,Nc,屏東縣行政區(附錄－地名－臺灣縣市行政區名)
枋山,Nc,附錄－地名－火車線站名
析,VC,
枕,VC,
枕頭,Na,
枕頭套,Na,
林,Nb,附錄－百家姓
林內,Nc,附錄－地名－火車線站名
林內鄉,Nc,雲林縣行政區(附錄－地名－臺灣縣市行政區名)
林務局,Nc,
林園區,Nc,高雄市行政區(附錄－地名－臺灣縣市行政區名)
林投,Nc,【名】木本植物。樹高約二丈，樹幹基部會長出粗大的氣根，氣根入地，就會變成具有支持作用的支柱根。葉子叢生在枝幹的末梢，葉片細長而且尖、帶刺。因為很耐風沙，所以多栽植於濱海地區。材質適合做大廣絃。
林木,Na,
林業,Na,
林邊,Nc,附錄－地名－火車線站名
林邊鄉,Nc,屏東縣行政區(附錄－地名－臺灣縣市行政區名)
林鳳營,Nc,附錄－地名－火車線站名
果,VH,附錄－百家姓
果子,Na,【名】水果。例：你去買一寡果子轉來供神。Lí khì bé tsi̍t-kuá kué-tsí tńg-lâi kìng-sîn. (你去買一些水果回來供奉神明。)　
果汁,Na,
果然,D,【副】果真。事情與所預料的一樣。例：我臆了無毋著，人果然是伊刣的。Guá ioh liáu bô m̄-tio̍h, lâng kó-jiân sī i thâi--ê. (我猜得沒錯，人果真是他殺的。)　
枝,Nf,
枝仔冰,Na,【名】冰棒。在模型中倒入果汁、糖水、紅豆湯或牛奶，並插入竹枝或木條，放置在冰箱中凍結而成的棒狀冰品。
枯,VH,
架,VC,
架勢,Na,
架構,VC,
架設,VC,
枷,Na,
枸杞,Na,【名】植物名。落葉灌木，葉子為披針形，花為淡紫色，果實為枸杞子，為圓形或橢圓形的紅色漿果。可入藥，具有滋補作用。也經常用來和其他食材烹調。例：枸杞鰻　kóo-kí muâ。
柄,Nf,
柏,Nb,
某,Nes,
某人,Na,1.【代】指特定的人或事物(明知道名稱卻不說出)。例：彼是某人講予我聽的。He sī bóo-lâng kóng hōo guá thiann--ê. (那是那個人講給我聽的。)　
柑,Na,【名】柑橘類的總稱。例：椪柑　phòng-kam(一種皮厚體型大的橘子)、桌頂拈柑　toh-tíng ni kam(用手指頭拈取桌上的橘子，比喻事情極其容易)。
染,VC,【動】著色在物體上，使其改變原來的顏色。例：白白布染甲烏去。Pe̍h-pe̍h pòo ní kah oo--khì. (一塊純白的布料被染成黑的。比喻一個人被抹黑了。)；染布　ní-pòo、染頭毛　ní thâu-mn̂g (染頭髮)。
染料,Na,【名】供染色用的物質。例：你無去買染料，欲提啥物來染布？Lí bô khì bé ní-liāu, beh the̍h siánn-mih lâi ní-pòo? (你沒有去買染料，要拿什麼來染布呢？)　
染病,VH,
染色,VB,【動】用染料在物品上加顏色。例：頭毛染色　thâu-mn̂g ní-sik(頭髮染色)。
染色體,Na,
柔,VH,
柔情,Na,
柔美,VH,
柔軟,VH,
柔道,Na,【名】一種徒手搏擊的武術。源自日本。攻防、對練時以柔能克剛、剛柔並濟為特點，近似於摔跤。源自日語。例：練柔道不但強身，嘛是修身養性。Liān jiû-tō put-tān kiông sin, mā sī siu-sin ióng-sìng. (練柔道不但強身，也是修身養性。)　
柚,Na,【名】木本植物。常綠喬木。枝條粗大，帶刺。葉大而厚，呈長卵形。初夏開白花，花形為柑橘類中最大者。果實即柚子，皮淡黃或黃綠色，質厚而粗，球形或梨形，果肉白或淡紅，可食。
查,VE,附錄－百家姓
查出,VE,
查封,VC,
查扣,VC,
查明,VE,
查某,Na,【名】女人、女性、女生。例：查某徛這爿，查埔徛彼爿。Tsa-bóo khiā tsit pîng, tsa-poo khiā hit pîng. (女性站這邊，男性站那邊。)　
查某人,Na,1.【名】女人。例：伊一个查某人欲飼一家大細，負擔誠重。I tsi̍t ê tsa-bóo-lâng beh tshī tsi̍t ke tuā-sè, hū-tam tsiânn tāng. (她一個女人要養一家大小，負擔很重。)　[近]查某[反]查埔、查埔人
查詢,VE,
查證,VE,
查驗,VE,
柩,Na,
柯,Nb,附錄－百家姓
柱,VC,
柳,Nb,附錄－百家姓
柳丁,Na,【名】瓜果類。呈圓球形，果頂有圓圈，表皮有溝紋，果肉為深黃色，汁多味甜。
柳營,Nc,附錄－地名－火車線站名
柴,Nb,附錄－百家姓
柴刀,Na,【名】砍刀、劈刀。砍柴、劈柴用的刀子。
柴山,Nc,附錄－地名－山脈名
柴油,Na,
柴砧,Na,【名】劈柴時用來墊在木柴下方的圓木塊。例：破柴連柴砧煞破。Phuà-tshâ liân tshâ-tiam suah phuà. (劈柴時連底下的砧板一起劈。比喻密報時連同提供消息的人是誰都一併透露。)　
柴草,Na,【名】薪柴、燃料。可當做燃燒用的樹枝、稻稈、雜草等。
柴頭,Na,1.【名】木柴、木頭。例：這馬真少人用柴頭咧燃火矣。Tsit-má tsin tsió lâng iōng tshâ-thâu teh hiânn-hué--ah. (現在很少人用木柴在升火煮食了。)　
柴魚,Na,【名】鰹魚乾。將鰹魚除去內臟後蒸熟，再用慢火烘烤成堅硬薰黃的魚乾，然後刨成薄片。因形狀和顏色像柴，所以稱為「柴魚」。
柿,Na,【名】木本植物。主幹高達二、三丈，葉子為闊橢圓形或倒卵形。花朵呈淡黃色。果實為球形或扁球形，成熟時呈橙黃或橙紅色。
柿霜,Na,【名】柿霜。柿子的果糖在柿餅上結的霜狀粉末，可以做藥，能止咳、化痰。例：柿粿的柿霜毋好洗掉。Khī-kué ê khī-sng m̄-hó sé-tiāu. (柿餅的柿霜不要洗掉。)　
柿餅,Na,【名】柿餅。把柿子壓扁、晒乾後製成的餅狀食品。
栓,b,
栗子,Na,【名】栗樹子。可以烤熟來吃，也可以用作料理食物的佐料。
校,VC,
校區,Nc,
校友,Na,
校園,Nc,
校對,VC,【動】根據原稿考查訂正排印或繕寫的錯誤。
校工,Na,【名】學校工友。在學校裡打雜的人。
校慶,Nd,
校方,Na,
校正,VC,
校舍,Nc,【名】學校的建築物。
校長,Na,【名】掌管學校行政事務的最高領導人。例：校長兼摃鐘。Hāu-tiúnn kiam kòng-tsing. (校長兼做校工。比喻單位小，人員少，主管必須兼做基層職務。)　
株,Nf,
核,VC,
核准,VE,
核子,Na,
核定,VE,
核心,Na,
核武,Na,
核發,VC,
核能,Na,【名】核反應所釋放出來的能量。包含核分裂與核融合二種。所釋出的能量非常巨大，可用於發電或其他動力方面的用途上。例：核能反應　hi̍k-lîng huán-ìng。
根,Nf,【名】植物的根部，也引申表示事情的根本、來源。例：咱文化的根愛顧予伊牢。Lán bûn-huà ê kin ài kòo hōo i tiâu. (我們文化的根源要保護好。)　
根基,Na,
根底,Na,1.【名】根本。例：你愛對根底重拍起。Lí ài tuì kin-té tîng phah khí. (你要從根本重新做起。)　
根據,VJ,1.【動】依據。例：根據伊的講法，咱應該著較早出門才著。Kin-kì i ê kóng-huat, lán ìng-kai tio̍h khah tsá tshut-mn̂g tsiah tio̍h. (依據他的說法，我們應該更早出門才對。)　
根本,VH,1.【名】植物的根。引申為原本、本源、基礎、主要的部分。例：臺灣經濟的根本是骨力拍拚的精神。Tâi-uân king-tsè ê kin-pún sī kut-la̍t phah-piànn ê tsing-sîn. (臺灣經濟的根本是努力打拚的精神。)　
根源,Na,
格,VH,
格仔,Na,1.【名】簿冊上或其他地方的小方格。例：佇塗跤畫格仔。Tī thôo-kha uē keh-á. (在地上畫格子。)　
格式,Na,
格調,Na,
栽,VC,1.【動】種植。例：栽花　tsai hue(種花)。[近]種
栽培,VC,1.【動】種植。例：栽培樹木　tsai-puê tshiū-bo̍k。
桀,Nb,
桂,Nc,附錄－百家姓
桂竹,Na,【名】禾本植物。一種莖幹長直的竹子，可以做房屋的建築材料和農具。桂竹筍在每年四月清明節前後開始發芽，叫做「春筍」。
桂竹筍,Na,【名】桂竹所生的筍子。桂竹筍的形狀比其他種的竹筍細長，盛產於四、五月間，筍期短。稍微有酸味。
桂花,Na,【名】木犀。木本植物。葉子為橢圓形或長橢圓形。大約在每年九月、十月(農曆八月)開花。花白色或淡黃色，可用為香料及潤髮。
桃,VH,
桃園,Nc,附錄－地名－火車線站名
桃園區,Nc,縣市(附錄－地名－臺灣縣市行政區名)
桃園市,Nc,縣市(附錄－地名－臺灣縣市行政區名)
桃花,Nb,1.【名】桃樹所開的花。
桅,Na,
框,VC,【動】圈。用某物把主體標的物圈起來。例：字典中重要的字共伊框起來。Jī-tián-tiong tiōng-iàu ê jī kā i khong--khí-lâi. (把字典中重要的字圈起來。)　
案,Nac,
案件,Na,1.【名】關於訴訟的事件，統稱為「案件」。
案例,Na,
案底,Na,【名】前科。指曾受科刑判決的紀錄。例：有案底　ū àn-té(有前科)。
案情,Na,【名】案件的發生的原委及過程的情節。
桌,Nf,1.【名】泛指各種桌子。例：食飯桌　tsia̍h-pn̄g-toh(飯桌)。[近]桌仔
桌仔,Na,【名】桌子。
桌巾,Na,
桌布,Na,【名】抹布。
桌櫃,Na,【名】五斗櫃。有五個抽屜的矮腳櫃，多用來放置衣物。在傳統婚禮中為必要嫁粧，因為「掛膭」(kuà kuī)指懷孕，與附帶櫃子之意的「佮櫃」(kah kuī)諧音，有早生貴子的吉兆。
桌球,Na,
桌面,Nc,
桐,b,
桐油,Na,【名】用油桐樹的種子所製成的油。可以塗飾房屋、器具，並且可以做防水、防腐劑等。
桑,Nb,附錄－百家姓
桑椹,Nb,
桔,VH,【名】木本植物。柑橘類果樹的總稱。例：金桔　kim-kiat。
