2	一	壹	第7級	it	壹	【替】tsi̍t			1.【數】數字。	2.【形】極、最、第一的。例：一流　it-liû。	3.【形】相同的。例：兩个生做一模一樣。In nn̄g ê senn-tsò it-bôo-it-iūnn. (他們兩個長得一模一樣。)　	4.【副】整個地、全部地。例：一生　it-sing、一向　it hiòng。																						
7256	惝	心跳	第6級	【替】tshíng					【動】心跳。例：心臟噗噗惝。Sim-tsōng pho̍k-pho̍k-tshíng. (心臟噗噗跳。)　																									
7257	戛	敲擊	第7級	【替】khiat					【動】輕輕地敲擊。例：戛番仔火　khiat huan-á-hué(敲擊火柴點火)。																									
7259	捥	抱	第4級	【替】ńg	抁				【動】用手腕抱東西。例：我緊欲捥棉被來曝日。Guá kín beh ńg mî-phuē lâi pha̍k-ji̍t. (我趕著抱棉被去晒太陽。)　															捥	ńg	ńg	ńg	uínn	ńg	ńg	áinn	áinn;ńg	ńg	ńg
7260	捧	端	第4*級	phóng					1.【動】雙手由下而上托著物品。例：捧屎抹面　phóng-sái-buah-bīn(捧著屎往臉上抹。比喻自取其辱。)　[近]扶	2.【量】計算雙手捧承物品的單位。例：一捧花　tsi̍t phóng hue。																								
7267	情形	情勢	第5級	tsîng-hîng			情勢、狀況、情況		【名】事情所呈現的狀態。																									
7268	自來	從來	第3*級	tsū-lâi			從到今、透底		【時】從來。從以前到現在。例：伊自來就毋捌破病。I tsū-lâi tō m̄ bat phuà-pēnn. (他從來都不曾生病。)　																									
7269	從到今	從來	第3*級	tsîng-kàu-tann			自來		【副】向來、從來。從以前到現在。例：從到今我攏毋捌看過豬行路。Tsîng-kàu-tann guá lóng m̄ bat khuànn-kuè ti kiânn-lōo. (我從來沒看過豬走路。)　																									
7274	捨施	給	第1級	siá-sì					【動】以輕視對方的態度施捨、給予。是一種很不禮貌的用法。例：我看你是無才調還我，捨施你啦。Guá khuànn lí sī bô tsâi-tiāu hîng--guá, siá-sì--lí--lah.(我看你是沒本事還我，給你算了。)　																									
7278	徛家	住家	第5級	khiā-ke	豎家、企家				【名】住家。例：阮這間厝是欲租人做徛家的。Guán tsit king tshù sī beh tsoo lâng tsò khiā-ke--ê. (這間房子是要租給人家當住家的。)　																									
7279	徙栽	移植	第6級	suá-tsai					【動】將苗木等移植。例：人講一日徙栽，三日徛黃，咱著愛有定性。Lâng kóng tsi̍t ji̍t suá-tsai, sann ji̍t khiā-n̂g, lán tio̍h-ài ū tīng-sìng. (人家說樹木被移植後會有一段日子枯黃，所以我們做人要有定性，不要見異思遷。)　																									
7281	徛起	立足	第6級	khiā-khí	企起、豎起				1.【動】立足。例：做人愛守本份，才會當佇社會上佮人徛起。Tsò-lâng ài siú pún-hūn, tsiah ē-tàng tī siā-huē-siōng kah lâng khiā-khí. (為人處世要守本份，才能在社會上立足。)　	2.【動】日常生活起居。例：好徛起　hó khiā-khí(生活舒適方便)。																								
7283	情理	道理	第4*級	tsîng-lí					【名】人情事理。例：這種無情理的話，干焦你才講會出來。Tsit tsióng bô tsîng-lí ê uē, kan-na lí tsiah kóng ē tshut--lâi. (這種無理的話，只有你才說得出來。)　																									
7285	情報	情報	第5級	tsîng-pò					【名】關於某種情況的訊息報告，多帶有機密性質。																									
7286	徛黃	枯黃	第7級	khiā-n̂g	企黃、豎黃				【動】枯死、枯萎、枯黃。指植物出現枯黃的現象。例：一日徙栽，三日徛黃。Tsi̍t ji̍t suá tsai, sann ji̍t khiā-n̂g. (樹木被移植之後，有一段時間會出現暫時性枯黃的現象。引申用來勸人不要沒有定性，否則很難有所成就。)　																									
7287	情勢	情勢	第5級	tsîng-sè			形勢、情形、狀況		【名】事情的狀況發展和趨勢。																									
7290	情意	感情	第4級	tsîng-ì					【名】心意、感情。例：伊對你有情意。I tuì lí ū tsîng-ì. (他對你有感情。)　																									
7291	悾歁	愚笨	第7級	khong-khám	悾憨				【形】罵人呆傻、愚笨。例：你真正有夠悾歁。Lí tsin-tsiànn ū-kàu khong-khám. (你真的很笨。)　																									
7295	悽慘	悲慘	第5級	tshi-tshám			悲慘		【形】悲哀慘痛。例：伊去予人拍甲真悽慘。I khì hōo lâng phah kah tsin tshi-tshám. (他被人打得很慘。)　																									
7300	情緒	情緒	第5級	tsîng-sū					【名】心情。心中喜、怒、哀、樂、愛、惡、欲等感覺。																									
7308	情願	滿足	第4級	tsîng-guān			甘心、甘願	毋甘願、毋情願、勉強	【動】甘心、願意。例：做代誌就較情願咧。Tsò tāi-tsì tō khah tsîng-guān--leh. (做事情就甘願一點。)　																									
7311	捲	捲	第5級	kńg					1.【動】將東西彎成圓筒形。例：捲舌　kńg tsi̍h。	2.【動】捲吞、吞噬。例：伊予海水捲去矣。I hōo hái-tsuí kńg--khì--ah. (他被海水捲去了。)　														捲	kńg	kńg	kńg	kuínn	kńg	kńg	kńg	kńg	kńg	kńg
7313	捻	摘	第5級	【替】liàm		liām			1.【動】捏、擰。例：出力共伊捻落去。Tshut-la̍t kā i liàm--lo̍h-khì. (用力捏下去。)；捻喙䫌　liàm tshuì-phué(捏臉頰)。	2.【動】用手指頭將東西捏取一小塊下來。例：我想欲捻一塊粿來食。Guá siūnn-beh liàm tsi̍t tè kué lâi tsia̍h. (我想要捏取一塊糕來吃。)　	3.【動】摘取、折取。常用來指摘取植物的莖、花朵等。例：捻菜　liàm tshài(摘菜)、捻花　liàm hue(摘花)。																							
7315	捽	鞭打	第7級	【替】sut	摔				1.【動】迅速地吃。例：我都猶未食半喙咧，你就捽了了！Guá to iáu-buē tsia̍h puànn tshuì--leh, lí tō sut-liáu-liáu! (我都還沒吃半口，你一下子就吃光光！)　	2.【動】鞭打、甩打、抽打。例：伊去予人捽甲流血流滴，真驚人。I khì hōo lâng sut kah lâu-hueh-lâu-tih, tsin kiann--lâng. (他被人鞭打到流血，真是嚇人。)　																								
7317	掀	翻	第4級	hian					1.【動】揭開、翻開。例：伊共鼎蓋掀起來。I kā tiánn-kuà hian--khí-lâi. (他把鍋蓋揭開來。)　	2.【動】翻閱書本。例：學英文愛定定掀字典，才會進步。O̍h Ing-bûn ài tiānn-tiānn hian jī-tián, tsiah ē tsìn-pōo. (學英文要常常查字典，才會進步。)　[近]反、翻	3.【動】揭穿。例：伊的底細予人掀出來矣。I ê té-sè hōo lâng hian--tshut-lâi--ah. (他的底細被人家揭穿了。)　																							
7319	掃	掃	第4級	【白】sàu		【文】sò			1.【動】用掃帚清除灰塵、垃圾。例：掃塗跤　sàu thôo-kha(掃地)。	2.【動】用言語攻擊別人、駁斥別人。例：伊會講話共人掃。I ē kóng-uē kā lâng sàu. (他會講話駁斥別人。)　																								
7320	掉	掉	第2*級	tiāu					【助】置於動詞之後，表示動作完成。例：挕掉　hìnn-tiāu(丟掉)、燒掉　sio-tiāu、洗掉　sé-tiāu。																									
7321	排	排	第4級	pâi					1.【動】一個接著一個，按照順序擺列。例：椅仔排無好勢，看起來真亂。Í-á pâi bô hó-sè, khuànn--khí-lâi tsin luān. (椅子沒排好，看起來很亂。)　	2.【量】列。計算成列的人或物的單位。例：第九排　tē-káu pâi。	3.【量】軍隊的編制單位，四班為一排，四排為一連。	4.【動】並列、擺列、陳列。例：彼兩項物件排鬥陣。Hit nn̄g hāng mi̍h-kiānn pâi tàu-tīn. (那兩樣東西並列在一起。)　	5.【動】疏導、疏通、摒除。例：水路若窒起來，水就排袂出去矣。Tsuí lōo nā that--khí-lâi, tsuí tō pâi bē tshut--khì--ah. (水道要是塞住了，水就疏導不出去了。)　																					
7324	掛	懸掛	第6級	【文】kuà		【白】khuà			1.【動】懸掛。把東西懸掛起來。例：衫愛掛踮衫架仔頂。Sann ài kuà tiàm sann-kè-á tíng. (衣服要掛在衣架上。)　[近]吊	2.【動】佩戴珠寶、飾品。例：掛手環　kuà tshiú-khuân(戴手鐲)。	3.【動】連帶、附加。例：一喙掛雙舌。Tsi̍t tshuì kuà siang tsi̍h.(一張嘴附帶兩個舌頭。比喻人口齒伶俐。)；肉掛骨　bah kuà kut(帶骨的肉)。																							
7325	掛	掛	第2*級	【白】khuà		【文】kuà			【動】懸、放。把事情懸在心中。例：伊共這件代誌掛佇心肝頭。I kā tsit kiānn tāi-tsì khuà tī sim-kuann-thâu. (他把這件事情放在心上。)　																									
7326	掜	留	第3級	【替】tau	㨮				1.【動】扣住、留住。例：錢愛共伊掜起來，無，伊會亂開。Tsînn ài kā i tau--khí-lâi, bô, i ē luān khai. (要把他的錢扣下來，否則他會亂花。)；掜留　tau liû(留住)。	2.【動】油炸食物之前，將食物沾粉或沾麵糊的動作。例：掜粉　tau hún(沾粉)。	3.【動】拉過來、攬過來。例：掜倚來身軀邊。Tau uá-lâi sin-khu-pinn. (拉近身邊來。)　																							
7327	掠	讓	第2級	【白】lia̍h		【文】lio̍k			1.【動】捕、抓。例：掠魚　lia̍h hî(捉魚)。	2.【動】估計、估算。例：小掠一个大概仔。Sió lia̍h tsi̍t-ê tāi-khài-á. (稍微估個大概。)　	3.【動】按摩、捏揉。例：肩胛頭共我掠一下。King-kah-thâu kā guá lia̍h--tsi̍t-ē. (肩膀幫我按摩一下。)　	4.【量】計算拇指到其他指頭張開距離的單位。常用來當作簡便的測量工具。例：一掠長　tsi̍t-lia̍h tn̂g(一掌長)。	5.【動】找出問題所在。例：掠漏　lia̍h-lāu(找出漏水的地方)。	6.【動】控制使維持為某種狀態。例：掠予伊直　lia̍h hōo i ti̍t(控制使成為整齊的一直線)。	7.【介】對著。例：掠伊金金看。Lia̍h i kim-kim-khuànn. (對著他目不轉睛地看。)　																			
7328	採	採	第4*級	tshái					【動】選取、揀選。例：採用　tshái-iōng、採取　tshái-tshú。																									
7330	接	接	第2級	【文】tsiap		【白】tsih			1.【動】迎接、接待。例：緊去接人客。Kín khì tsiap lâng-kheh. (快去迎接客人。)　	2.【動】連接、接合。例：接骨　tsiap-kut。	3.【動】接到、收到。例：我有接著你寄來的批。Guá ū tsiap-tio̍h lí kià--lâi ê phue. (我收到你寄來的信了。)　																							
7331	接	接	第2級	【白】tsih		【文】tsiap			1.【動】接洽、周旋。例：接接　tsih-tsiap。	2.【動】迎接。例：接神　tsih sîn。	3.【動】承受重量。例：接力　tsih-la̍t。																							
7334	推	撞	第5級	【文】thui		【白】the、【文】tshui			1.【動】指藥物在人體內產生藥效。例：這味藥仔是推會行抑推袂行？Tsit bī io̍h-á sī thui ē kiânn ia̍h thui bē kiânn? (這個藥產不產生藥效？)　	2.【動】推動、加強。例：這件代誌愛推一下。Tsit kiānn tāi-tsì ài thui--tsi̍t-ē. (這件事要推動一下。)　	3.【動】推拿。例：提草仔膏共烏青跡推推咧！The̍h tsháu-á-ko kā oo-tshenn jiah thui-thui--leh! (拿青草膏將瘀血處推拿推拿！)　	4.【動】大吃、大喝，較粗俗的用法。例：今仔日推甲有夠飽的。Kin-á-ji̍t thui kah ū-kàu pá--ê. (今天吃得真飽。)　	5.【動】打、毆打。例：伊予人推甲烏青凝血。I hōo lâng thui kah oo-tshenn gîng-hueh. (他被人家毆打得瘀血。)　[近]舂、揍																					
7335	掩	遮	第6級	【替】am		iám、【替】ng、【替】om			1.【動】遮蔽、掩蓋。例：掩目睭　am ba̍k-tsiu(遮眼睛)、好掩䆀　hó am bái(好的掩蓋不好的)。	2.【動】引申為養活。例：一肢手掩一家喙。Tsi̍t ki tshiú am tsi̍t ke tshuì. (一個人養活一家人。)　	3.【動】保護。例：小妹著掩咧！Sió-muē tio̍h am--leh! (小妹要保護好哦！)　																							
7336	掩	掩	第6級	iám		【替】am、【替】ng、【替】om			1.【動】土葬、埋葬。例：共死貓掩佇咧塗跤。Kā sí niau iám tī teh thôo-kha. (將死貓埋在土裡。)　[近]埋	2.【動】遮隱起來。例：掩身術　iám sin su̍t(隱身術)。																								
7337	掩	隱藏	第5級	【替】ng	抰	【替】am、iám、【替】om			【動】遮蓋、隱藏。例：掩目睭　ng ba̍k-tsiu(遮眼睛)。															掩	ng	ng	ng	uinn	ng	ng	ng	ng	ng	ng
7338	掩	遮蔽	第7級	【替】om		【替】am、iám、【替】ng			【動】遮蔽。例：共目睭掩起來。Kā ba̍k-tsiu om--khí-lâi. (把眼睛遮起來。)　																									
7339	掮	扛	第6級	【替】khainn	肩				【動】扛。以扁擔或粗棍子的一端放東西，置於肩上扛著。「擔」(tann)則是兩邊都放著東西。例：干焦一袋爾爾，愛用掮的，袂使用擔的。Kan-na tsi̍t tē niā-niā, ài iōng khainn--ê, bē-sái iōng tann--ê. (只有一袋而已，要用單邊吊掛，不能用雙邊挑起。)　																									
7340	救	救	第4級	kiù				害	【動】幫助人或動物等脫離困境、險境或是解除生命危機。例：救災　kiù-tsai、救命　kiù-miā。																									
7345	救人	救命	第5級	kiù-lâng	救儂		救命		【動】救命。例：先莫煩惱錢，救人較要緊。Sing mài huân-ló tsînn, kiù-lâng khah iàu-kín. (先不要煩惱錢，救人比較重要。)　																									
7347	掛心	擔心	第3*級	khuà-sim			掛慮、操心		【動】操心、擔心。例：我的代誌免你掛心。Guá ê tāi-tsì bián lí khuà-sim. (我的事情不用你擔心。)　																									
7351	捽仔	鞭子	第6級	sut-á	摔仔				【名】鞭子。驅趕牲畜或用來打人的器具。																									
7352	掘仔	鋤頭	第7級	ku̍t-á			尖喙掘仔、尖掘仔		【名】鋤頭。用來挖土或鬆土的工具。																									
7353	教冊	教書	第3*級	kà-tsheh					【動】教書。教導學生學習各種知識。																									
7356	排斥	排擠	第6級	pâi-thik					【動】排除、排擠。例：淺肚腸的人較會排斥別人。Tshián tōo-tn̂g ê lâng khah ē pâi-thik pa̍t-lâng. (度量狹小的人比較會排擠別人。)　																									
7359	教示	教誨	第6級	kà-sī			教訓		【動】教訓、訓示。教導訓誨。例：這个囡仔若無教示是袂乖的。Tsit ê gín-á nā bô kà-sī sī bē kuai--ê. (這個孩子如果不教訓是不會乖的。)　																									
7362	排列	排隊	第3級	pâi-lia̍t			排隊		【動】排隊。依照次序排成行列。例：逐个佇遐排列，是為著欲買票。Ta̍k ê tī hia pâi-lia̍t, sī uī-tio̍h beh bé phiò. (每個人在那裡排隊，是為了要買票。)　																									
7364	推行	推行	第6級	thui-hîng					【動】推廣施行。例：這个活動愛靠你來推行。Tsit ê ua̍h-tāng ài khò lí lâi thui-hîng. (這個活動要靠你來推行。)　																									
7366	救助	援助	第6級	kiù-tsōo			救援		【動】救援幫助。																									
7368	掠狂	發狂	第6級	lia̍h-kông			心狂火著、起狂		【動】抓狂、發狂。通常表示極為憤怒或極度緊張。例：媽媽看著我的分數一定會掠狂。Má-mah khuànn-tio̍h guá ê hun-sòo it-tīng ē lia̍h-kông. (媽媽看到我的分數一定會發狂。)　																									
7369	教育	教育	第3級	kàu-io̍k					1.【動】教導培育。	2.【名】一種有關培育人才、訓練技能，以期能幫助國家建設，社會發展的事業。																								
7371	接受	接納	第6級	tsiap-siū			接納、領受	拒絕、推辭、謝絕	【動】接納，收受。																									
7372	掠兔仔	嘔吐	第6級	lia̍h-thòo-á			吐		【熟】抓兔子、嘔吐。通常指酒喝太多而嘔吐。因為這對喝酒的人來說很丟臉，而「兔」與「吐」諧音，所以用這個間接而委婉的說法。例：伊去掠兔仔矣，無佇遮。I khì lia̍h-thòo-á--ah, bô tī tsia. (他去抓兔子了，不在這裡。意思是他去嘔吐了。)　																									
7381	接待	接待	第5級	tsiap-thāi					【動】迎接招待。例：接待人客　tsiap-thāi lâng-kheh(接待客人)。																									
7382	救星	救星	第7級	kiù-tshenn/kiù-tshinn					【名】幫助人脫離危難痛苦的人。																									
7383	教員	教師	第4級	kàu-uân			教師		【名】擔任教學工作的人員。																									
7384	掩崁	隱瞞	第6級	am-khàm	掩蓋				【動】隱瞞、包庇。例：你敢做，就莫叫我替你掩崁。Lí kánn tsò, tō mài kiò guá thè lí am-khàm. (你敢做，就不要叫我替你隱瞞。)　																									
7385	敗害	壞處	第3級	pāi-hāi					【名】害處。對人事物有損害的地方。例：加食寡果子無敗害。Ke tsia̍h kuá kué-tsí bô pāi-hāi. (多吃點水果沒害處。)　																									
7387	教師	教師	第4級	kàu-su			教員		【名】教授學生、傳授知識的人。																									
7390	接納	接納	第6級	tsiap-la̍p			承受、接受	拒絕、謝絕	【動】接受。																									
7392	教訓	教誨	第6級	kàu-hùn			教示		1.【動】教導訓誡。例：伊真𠢕教訓囡仔。I tsin gâu kàu-hùn gín-á. (他很會教導小孩。)　	2.【名】從失敗或錯誤中學習到的經驗。																								
7398	接接	接洽	第7級	tsih-tsiap					1.【動】接洽。與人商議事情。例：彼个客戶就予你去接接一下。Hit ê kheh-hōo tō hōo lí khì tsih-tsiap--tsi̍t-ē. (那個客戶就讓你去接洽一下。)　	2.【動】接待、招待。例：你緊去接接人客，莫閣坐佇遮。Lí kín khì tsih-tsiap lâng-kheh, mài koh tsē tī tsia. (你快去接待客人，不要再坐在這裡。)　																								
7399	敏捷	敏捷	第6級	bín-tsia̍t					【形】反應迅速快捷。例：伊做代誌誠敏捷。I tsò tāi-tsì tsiânn bín-tsia̍t. (他做事情很迅速。)　																									
7400	教授	教授	第3*級	kàu-siū					【名】在大學及專科以上學校任教的教師中，等級最高者。																									
7402	捾桶仔	桶子	第7級	kuānn-tháng-á					【名】附有提把，可供手提的桶子。															水桶	捾桶仔　kuānn-tháng-á	捾桶仔　kuānn-tháng-á	捾桶仔　kuānn-tháng-á	捾桶仔　kuānn-tháng-á	拔桶仔　pua̍h-tháng-á, 捾桶仔　kuānn-tháng-á	捾桶仔　kuānn-tháng-á	暫無資料　	捾桶　kuānn-tháng	水桶　tsuí-tháng, 拔桶　pua̍nnh-tháng	水桶　tsuí-tháng
7403	排球	排球	第4*級	pâi-kiû					【名】一種球類運動。在球場中間掛球網，兩隊各六人，隔網利用手部動作，以托、排、擊等方式，使球過網，而且在過程中，球不能落地。																									
7404	探訪	探訪	第7級	thàm-hóng					【動】探問拜訪。例：探訪朋友　thàm-hóng pîng-iú(拜訪朋友)。																									
7405	接喙	接口	第7級	tsiap-tshuì	接嘴				1.【名】接口。東西的接合處。例：這个接喙黏無好勢，強欲裂開矣。Tsit ê tsiap-tshuì liâm bô hó-sè, kiōng-beh li̍h--khui--ah. (這個接合處沒黏好，快要裂開了。)　	2.【動】接口。接著別人的話題說話。例：伊愛共人接喙，接落去就講袂煞。I ài kā lâng tsiap-tshuì, tsiap--lo̍h-khì tō kóng bē suah. (他喜歡接人家的話題，接下去就聊個不停。)　																								
7406	救援	幫助	第2級	kiù-uān			救助、援助		【動】救助、援助。																									
7407	推測	猜想	第5級	thui-tshik			推論、猜想		【動】推想揣測。																									
7414	推進	推進	第6級	thui-tsìn					【動】推動前進、向前發展。																									
7415	排隊	排隊	第3級	pâi-tuī			排列		【動】依照順序排列成行伍。例：恁等一下，我來排隊買票。Lín tán--tsi̍t-ē, guá lâi pâi-tuī bé phiò. (你們等一下，我去排隊買票。)　																									
7416	掃塗跤	掃地	第4級	sàu thôo-kha	掃土腳、掃塗骹、掃塗腳		掃地(sàu-tè)		【動】掃地。															掃地	掃塗跤　sàu-thôo-kha	掃地　sàu-tèr, 掃塗跤　sàu-thôo-kha, 掃跤兜　sàu-kha-tau	掃地　sàu-tè, 掃塗跤　sàu-thôo-kha	掃塗跤　sàu-thôo-kha	掃地　sàu-tè, 掃塗跤　sàu-thôo-kha	掃地　sàu-tè, 掃塗跤　sàu-thôo-kha	掃塗跤　sàu-thôo-kha	掃塗跤　sàu-thôo-kha	掃厝　sàu-tshù, 掃塗跤　sàu-thôo-kha	掃塗跤　sàu-thôo-kha
7417	掛意	擔心	第3*級	kuà-ì			掛慮、掛念		【動】掛念、介意。心中有繫念，將不愉快或憂慮之事存於心中，而不能釋懷。例：你毋通掛意，我會趕緊轉來。Lí m̄-thang kuà-ì, guá ē kuánn-kín tńg--lâi. (你不要掛念，我會趕快回來。)　																									
7419	排解	排解	第7級	pâi-kái					1.【動】調停、調解。例：當咧冤家，你小共排解一下。In tng-teh uan-ke, lí sió kā in pâi-kái--tsi̍t-ē. (他們正在吵架，你稍微幫他們調停一下。)　	2.【動】排遣。消除心中的煩悶和不快意。例：伊袂曉排解心事，才會發性地。I bē-hiáu pâi-kái sim-sū, tsiah ē huat-sìng-tē. (他不會排遣心事，才會發脾氣。)　																								
7421	捷運	捷運	第3級	tsia̍t-ūn			地鐵		【名】一種快速又便捷的大眾運輸系統。在地下或高架的專用道上行駛，不受其他車輛或行人的干擾，可提供乘客快速的服務，適用於大規模的都市。																									
7426	掖種	播種	第7級	iā-tsíng					【動】播種、撒種。散播種子在土壤中，使其生長。例：伊去田裡掖種矣。I khì tshân--lí iā-tsíng--ah. (他去田裡播種了。)　																									
7428	推廣	推廣	第5級	thui-kóng					【動】擴充、開展。																									
7429	掛慮	擔心	第3*級	kuà-lī/kuà-lū			掛心、掛意、操心		【動】擔心、掛心。																									
7430	推撨	商議	第6級	tshui-tshiâu					【動】商議調整或變更原定的計畫，以便於行事。例：先予兩个推撨好勢，咱才閣來決定紲落來欲按怎做。Sing hōo in nn̄g ê tshui-tshiâu hó-sè, lán tsiah koh lâi kuat-tīng suà--lo̍h-lâi beh án-tsuánn tsò. (先讓他們兩個協商好，我們再來決定接下來該怎麼做。)　																									
7431	推論	推斷	第6級	thui-lūn			推測、推斷		【動】根據事實而推演、推測。																									
7432	推銷	推銷	第5級	thui-siau					【動】推廣銷售。																									
7433	教學	傳授	第6級	kàu-ha̍k			傳授		【動】教師將知識、技能傳授給學生。																									
7435	探親	探親	第7級	thàm-tshin					【動】拜訪親戚。例：伊轉去大陸探親。I tńg-khì tāi-lio̍k thàm-tshin. (他回去大陸拜訪親戚。)　																									
7437	掠龍	按摩	第5級	lia̍h-lîng					【動】按摩。例：予伊掠龍了後，規身軀攏誠爽快。Hōo i lia̍h-lîng liáu-āu, kui-sin-khu lóng tsiânn sóng-khuài. (讓他按摩之後，整個身體都很舒服。)　																									
7441	捲螺仔旋	漩渦	第6級	kńg-lê-á-tsn̄g			絞螺仔水		【名】漩渦。															水漩渦	捲螺仔水　kńg-lêr-á-tsuí	捲螺仔水　kńg-lêr-á-tsuí	暫無資料　	捲螺仔旋　kuínn-lê-á-tsuīnn	捲螺仔旋　kńg-lê-á-tsn̄g	捲螺仔旋　kńg-lê-á-tsn̄g	暫無資料　	捲螺仔　kńg-lê--á	捲螺仔水　kńg-lêr-á-tsuí; kńg-lê-á-tsuí	捲螺仔水　kńg-lê-á-tsuí
7442	採購	採購	第5級	tshái-kòo					【動】購買許多物品。																									
7445	推辭	謝絕	第7級	the-sî			回、拒絕、謝絕	接受、接納、答應	【動】拒絕、推辭。例：請你毋通推辭。Tshiánn lí m̄-thang the-sî. (請你不要推辭。)　																									
7446	接觸	接觸	第4*級	tsiap-tshiok					【動】碰觸、挨上。人或東西碰在一起而引申為交往或往來。例：我佮伊小可仔有接觸。Guá kah i sió-khuá-á ū tsiap-tshiok. (我和他稍微有往來。)　																									
7447	接續	連續	第4*級	tsiap-sio̍k			連紲、連續		【動】連續。相連接、繼續不間斷。例：讀冊若無接續，就較會袂記得。Tha̍k-tsheh nā bô tsiap-sio̍k, tō khah ē bē kì--tit. (念書如果沒有接續不斷，就比較容易忘記。)　																									
7449	敗露	傷口	第5級	pāi-lōo			破空、出破、敗洩		【動】壞事或機密事件被發覺、揭露。																									
7450	救護車	救護車	第4*級	kiù-hōo-tshia					【名】用來運載傷患的專用車，車上有急救設備。																									
7451	探聽	探問	第7級	thàm-thiann					1.【動】打聽、探問。例：彼件代誌就留予你去探聽。Hit kiānn tāi-tsì tō lâu hōo lí khì thàm-thiann. (那件事情就留給你去打聽。)　	2.【動】用於親事上的打聽。例：查某囡仔人，你嘛留寡予人探聽。Tsa-bóo gín-á-lâng, lí mā lâu kuá hōo lâng thàm-thiann. (女孩子家，妳也留點好形象讓人家日後好來打聽親事。)　																								
7452	斜	斜	第5級	【白】tshiâ		【替】tshua̍h、【文】siâ			1.【動】傾斜。例：彼座塔斜一爿，強欲倒落去矣。Hit tsō thah tshiâ tsi̍t pîng, kiōng-beh tó--lo̍h-khì--ah. (那座塔斜一邊，快要倒了。)　	2.【動】引申為日落、月落。例：月斜西　gue̍h tshiâ sai(月影西斜)。																								
7453	斜	滑	第4級	【替】tshua̍h		【白】tshiâ、【文】siâ	趨		1.【形】不正的、歪斜的。例：這條線斜斜。Tsit tiâu suànn tshua̍h-tshua̍h. (這條線斜斜的。)　	2.【動】歪斜。例：這條路斜對東爿去。Tsit tiâu lōo tshua̍h tuì tang-pîng--khì. (這條路歪向東邊。)；斜過來　tshua̍h--kuè-lâi。	3.【形】不平行、不垂直的線條，尤其是指對角線。例：斜線　tshua̍h suànn、斜角線　tshua̍h-kak suànn(對角線)。																							
7455	旋	溜	第6級	【替】suan		【替】tsn̄g、suân			【動】反轉回繞，也引申為逃跑，即溜。例：一尾蛇旋過去。Tsi̍t bué tsuâ suan--kuè-khì. (一條蛇溜過去。)；緊旋！Kín suan! (快溜！快逃！)　																									
7459	望	期望	第4*級	【白】bāng		【文】bōng			【動】期盼。例：望你早歸　bāng lí tsá kui、向望　ǹg-bāng(盼望)。																									
7463	桶	桶子	第7級	tháng			桶仔		1.【名】圓柱形的盛物器具。例：水桶　tsuí-tháng、飯桶　pn̄g-tháng(盛飯的木桶，也用來罵人愚笨)、鐵桶　thih tháng。	2.【量】計算桶裝物的單位。例：一桶水　tsi̍t tháng tsuí。																								
7466	桿	桿	第6級	kuáinn					【名】管狀的杆子。例：銃桿　tshìng kuáinn(槍桿)。																									
7488	條	條	第2級	liâu		tiâu			1.【名】細長的東西。例：椅條　í-liâu(長板凳)、肉條　bah liâu。	2.【量】計算細長物的單位。例：一條椅仔　tsi̍t liâu í-á(一張長板凳)、兩條肉　nn̄g liâu bah(兩條肉條)。																								
7489	條	條	第2級	tiâu		liâu			1.【名】細長的東西。例：金條　kim-tiâu、藤條　tîn-tiâu。	2.【量】計算細長及分列事物的單位。例：一條路　tsi̍t tiâu lōo、兩條索仔　nn̄g tiâu soh-á(兩條繩子)、這條錢　tsit tiâu tsînn(這筆錢)、代誌大條　tāi-tsì tuā tiâu(事情嚴重)。	3.【名】分列的文字或理路。例：法條　huat tiâu、條理　tiâu-lí。																							
7490	梢	酥	第7級	【替】sau					1.【動】形容東西因為水分或養分不足而乾枯、龜裂、結構鬆散、碎落的樣子。例：骨頭梢去矣。Kut-thâu sau--khì--ah. (骨質疏鬆了。)　	2.【形】形容聲音沙啞。例：梢聲　sau-siann(聲音沙啞)。																								
7491	梨	梨	第5級	【白】lâi		【文】lê			【名】木本植物。落葉喬木，開白花，果實可吃，木材可做木刻之用。例：梨仔　lâi-á(梨)。																									
7493	欲	想	第1級	【替】beh/bueh	要、卜	io̍k			1.【動】要、想，表示意願。例：你欲去無？Lí beh khì--bô? (你要去嗎？)　	2.【副】將要、快要。例：欲落雨矣。Beh lo̍h-hōo--ah. (要下雨了。)；天欲光矣。Thinn beh kng--ah. (天要亮了。)　	3.【連】若是、如果，表示假設。例：欲我，我早就發現矣。Beh guá, guá tsá tō huat-hiān--ah. (要是我，我早就發現了。)　													欲	berh	berh	beh	bueh	beh	beh	berh	boh	beh	beh
7494	欶	吸	第4*級	suh	𠲿、嗍				【動】吸。例：欶管　suh-kóng(吸管)、欶薰　suh hun(吸煙)。															吸	欶　suh, 噪　soh	欶　suh	欶　suh, 噪　soh	欶　suh, 噪　soh	欶　suh, 噪　sorh	欶　suh, 噪　sorh	欶　suh	欶　suh	欶　suh	欶　suh
7495	欸	咦	第5級	【替】--eh	呃、吓				【嘆】表出乎意料之外的語氣詞。例：欸，哪會按呢？Eh, ná ē án-ne? (咦，怎麼會這樣？)　																									
